/	mainapp.views.index	main
/__debug__/render_panel/	debug_toolbar.views.render_panel	djdt:render_panel
/__debug__/sql_explain/	debug_toolbar.panels.sql.views.sql_explain	djdt:sql_explain
/__debug__/sql_profile/	debug_toolbar.panels.sql.views.sql_profile	djdt:sql_profile
/__debug__/sql_select/	debug_toolbar.panels.sql.views.sql_select	djdt:sql_select
/__debug__/template_source/	debug_toolbar.panels.templates.views.template_source	djdt:template_source
/admin-staff/	adminapp.views.index	admin_staff:index
/admin-staff/create/	adminapp.views.UserCreateView	admin_staff:create
/admin-staff/delete/<int:pk>/	adminapp.views.UserDeleteView	admin_staff:delete
/admin-staff/read/	adminapp.views.UsersListView	admin_staff:read
/admin-staff/update/<int:pk>/	adminapp.views.UserUpdateView	admin_staff:update
/admin/	django.contrib.admin.sites.index	admin:index
/admin/<app_label>/	django.contrib.admin.sites.app_index	admin:app_list
/admin/auth/group/	django.contrib.admin.options.changelist_view	admin:auth_group_changelist
/admin/auth/group/<path:object_id>/	django.views.generic.base.RedirectView
/admin/auth/group/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:auth_group_change
/admin/auth/group/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:auth_group_delete
/admin/auth/group/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:auth_group_history
/admin/auth/group/add/	django.contrib.admin.options.add_view	admin:auth_group_add
/admin/auth/group/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:auth_group_autocomplete
/admin/authapp/users/	django.contrib.admin.options.changelist_view	admin:authapp_users_changelist
/admin/authapp/users/<path:object_id>/	django.views.generic.base.RedirectView
/admin/authapp/users/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:authapp_users_change
/admin/authapp/users/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:authapp_users_delete
/admin/authapp/users/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:authapp_users_history
/admin/authapp/users/add/	django.contrib.admin.options.add_view	admin:authapp_users_add
/admin/authapp/users/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:authapp_users_autocomplete
/admin/basketapp/basket/	django.contrib.admin.options.changelist_view	admin:basketapp_basket_changelist
/admin/basketapp/basket/<path:object_id>/	django.views.generic.base.RedirectView
/admin/basketapp/basket/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:basketapp_basket_change
/admin/basketapp/basket/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:basketapp_basket_delete
/admin/basketapp/basket/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:basketapp_basket_history
/admin/basketapp/basket/add/	django.contrib.admin.options.add_view	admin:basketapp_basket_add
/admin/basketapp/basket/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:basketapp_basket_autocomplete
/admin/jsi18n/	django.contrib.admin.sites.i18n_javascript	admin:jsi18n
/admin/login/	django.contrib.admin.sites.login	admin:login
/admin/logout/	django.contrib.admin.sites.logout	admin:logout
/admin/mainapp/category/	django.contrib.admin.options.changelist_view	admin:mainapp_category_changelist
/admin/mainapp/category/<path:object_id>/	django.views.generic.base.RedirectView
/admin/mainapp/category/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:mainapp_category_change
/admin/mainapp/category/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:mainapp_category_delete
/admin/mainapp/category/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:mainapp_category_history
/admin/mainapp/category/add/	django.contrib.admin.options.add_view	admin:mainapp_category_add
/admin/mainapp/category/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:mainapp_category_autocomplete
/admin/mainapp/products/	django.contrib.admin.options.changelist_view	admin:mainapp_products_changelist
/admin/mainapp/products/<path:object_id>/	django.views.generic.base.RedirectView
/admin/mainapp/products/<path:object_id>/change/	django.contrib.admin.options.change_view	admin:mainapp_products_change
/admin/mainapp/products/<path:object_id>/delete/	django.contrib.admin.options.delete_view	admin:mainapp_products_delete
/admin/mainapp/products/<path:object_id>/history/	django.contrib.admin.options.history_view	admin:mainapp_products_history
/admin/mainapp/products/add/	django.contrib.admin.options.add_view	admin:mainapp_products_add
/admin/mainapp/products/autocomplete/	django.contrib.admin.options.autocomplete_view	admin:mainapp_products_autocomplete
/admin/password_change/	django.contrib.admin.sites.password_change	admin:password_change
/admin/password_change/done/	django.contrib.admin.sites.password_change_done	admin:password_change_done
